"Redis-Alone","Redis-1","MMS-1","SYS-CPU","SYS-MEM","SYS-FILEIO","Network","Stream-Spark","Stream-Storm"
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1500,1.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1000,1.0933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9200,1.0950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9100,0.9880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9300,0.9433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9100,0.9071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.0000,1.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2200,0.0000,1.2950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1900,0.0000,1.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,1.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1300,0.0000,1.2360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,1.2433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1300,0.0000,1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,2.0900,0.0000,0.0000,0.0000,0.0000,0.0000
1.1700,0.0000,0.0000,2.0633,0.0000,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,1.9325,0.0000,0.0000,0.0000,0.0000,0.0000
0.9500,0.0000,0.0000,1.7780,0.0000,0.0000,0.0000,0.0000,0.0000
1.0000,0.0000,0.0000,1.6143,0.0000,0.0000,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,0.0000,1.1050,0.0000,0.0000,0.0000,0.0000
1.2400,0.0000,0.0000,0.0000,1.1200,0.0000,0.0000,0.0000,0.0000
0.9300,0.0000,0.0000,0.0000,1.0375,0.0000,0.0000,0.0000,0.0000
0.9400,0.0000,0.0000,0.0000,0.9400,0.0000,0.0000,0.0000,0.0000
0.9200,0.0000,0.0000,0.0000,0.8650,0.0000,0.0000,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,0.8171,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.1600,0.0000,0.0000,0.0000
1.2400,0.0000,0.0000,0.0000,0.0000,0.0670,0.0000,0.0000,0.0000
1.1400,0.0000,0.0000,0.0000,0.0000,0.0967,0.0000,0.0000,0.0000
1.1600,0.0000,0.0000,0.0000,0.0000,0.1275,0.0000,0.0000,0.0000
1.1500,0.0000,0.0000,0.0000,0.0000,0.0340,0.0000,0.0000,0.0000
1.2200,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000
1.1000,0.0000,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5100,0.0000,0.0000
0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.4100,0.0000,0.0000
0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.3700,0.0000,0.0000
0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.5875,0.0000,0.0000
1.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.1980,0.0000,0.0000
0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000
1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.2429,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9460,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7420,0.0000
1.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.7460,0.0000
1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2642,0.0000
1.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.3473,0.0000
1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2370
1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6080
1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1097
1.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.6363
1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6875
0.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7774
1.1600,1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1633,1.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1175,0.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9960,0.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9217,0.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0620,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.8925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1900,3.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1700,3.6150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0100,3.3725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9700,3.2460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9500,3.1150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,3.0943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2000,0.0000,2.0750,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1800,0.0000,2.0800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9800,0.0000,1.9475,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0000,0.0000,1.6883,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9200,0.0000,1.6086,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1700,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
0.0000,1.1400,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9500,0.0000,0.0000,1.0375,0.0000,0.0000,0.0000,0.0000
0.0000,0.9200,0.0000,0.0000,0.9340,0.0000,0.0000,0.0000,0.0000
0.0000,0.9500,0.0000,0.0000,0.8650,0.0000,0.0000,0.0000,0.0000
0.0000,1.1600,0.0000,0.0000,0.0000,1.5500,0.0000,0.0000,0.0000
0.0000,1.1800,0.0000,0.0000,0.0000,0.9450,0.0000,0.0000,0.0000
0.0000,1.2100,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000
0.0000,1.1800,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0000
0.0000,1.1500,0.0000,0.0000,0.0000,0.0680,0.0000,0.0000,0.0000
0.0000,1.1500,0.0000,0.0000,0.0000,0.0191,0.0000,0.0000,0.0000
0.0000,1.2100,0.0000,0.0000,0.0000,0.0000,0.5100,0.0000,0.0000
0.0000,1.0300,0.0000,0.0000,0.0000,0.0000,0.3850,0.0000,0.0000
0.0000,0.9600,0.0000,0.0000,0.0000,0.0000,0.4433,0.0000,0.0000
0.0000,1.0900,0.0000,0.0000,0.0000,0.0000,0.2175,0.0000,0.0000
0.0000,1.0100,0.0000,0.0000,0.0000,0.0000,0.4280,0.0000,0.0000
0.0000,0.9400,0.0000,0.0000,0.0000,0.0000,0.3467,0.0000,0.0000
0.0000,1.0600,0.0000,0.0000,0.0000,0.0000,0.2443,0.0000,0.0000
0.0000,1.1900,0.0000,0.0000,0.0000,0.0000,0.0000,8.8830,0.0000
0.0000,1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8875,0.0000
0.0000,1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,8.7363,0.0000
0.0000,1.0800,0.0000,0.0000,0.0000,0.0000,0.0000,8.4168,0.0000
0.0000,1.1100,0.0000,0.0000,0.0000,0.0000,0.0000,9.6016,0.0000
0.0000,1.1200,0.0000,0.0000,0.0000,0.0000,0.0000,7.6307,0.0000
0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4167,0.0000
0.0000,1.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0830
0.0000,1.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.7770
0.0000,1.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6513
0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9127
0.0000,1.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6192
0.0000,1.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8647
0.0000,1.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.8453
1.2200,0.0000,1.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1367,0.0000,1.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1275,0.0000,1.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0280,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9717,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1900,3.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1600,3.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1567,3.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.0975,2.4900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9383,2.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9357,2.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2571,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2800,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.3100,2.1100,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1100,2.0100,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1700,1.8380,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1100,1.7350,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1900,1.6786,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2700,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2900,0.0000,1.1050,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2600,0.0000,1.1067,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1300,0.0000,1.0800,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1300,0.0000,0.9640,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1300,0.0000,0.8900,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.1100,0.0000,0.8386,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2900,0.0000,0.0000,0.0800,0.0000,0.0000,0.0000
0.0000,0.0000,1.2800,0.0000,0.0000,0.6267,0.0000,0.0000,0.0000
0.0000,0.0000,1.2800,0.0000,0.0000,0.0750,0.0000,0.0000,0.0000
0.0000,0.0000,1.3000,0.0000,0.0000,0.1080,0.0000,0.0000,0.0000
0.0000,0.0000,1.3300,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000
0.0000,0.0000,1.2500,0.0000,0.0000,0.2243,0.0000,0.0000,0.0000
0.0000,0.0000,1.2400,0.0000,0.0000,0.0000,0.3650,0.0000,0.0000
0.0000,0.0000,1.2500,0.0000,0.0000,0.0000,0.2400,0.0000,0.0000
0.0000,0.0000,1.2600,0.0000,0.0000,0.0000,0.2400,0.0000,0.0000
0.0000,0.0000,1.1300,0.0000,0.0000,0.0000,0.4983,0.0000,0.0000
0.0000,0.0000,1.2300,0.0000,0.0000,0.0000,0.2714,0.0000,0.0000
0.0000,0.0000,1.2700,0.0000,0.0000,0.0000,0.0000,9.0080,0.0000
0.0000,0.0000,1.2600,0.0000,0.0000,0.0000,0.0000,8.6000,0.0000
0.0000,0.0000,1.2800,0.0000,0.0000,0.0000,0.0000,8.8627,0.0000
0.0000,0.0000,1.2400,0.0000,0.0000,0.0000,0.0000,8.7710,0.0000
0.0000,0.0000,1.2600,0.0000,0.0000,0.0000,0.0000,9.6590,0.0000
0.0000,0.0000,1.2300,0.0000,0.0000,0.0000,0.0000,8.0130,0.0000
0.0000,0.0000,1.2300,0.0000,0.0000,0.0000,0.0000,7.7424,0.0000
0.0000,0.0000,1.3000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1460
0.0000,0.0000,1.2900,0.0000,0.0000,0.0000,0.0000,0.0000,1.9180
0.0000,0.0000,1.2100,0.0000,0.0000,0.0000,0.0000,0.0000,1.9467
0.0000,0.0000,1.1900,0.0000,0.0000,0.0000,0.0000,0.0000,1.5836
0.0000,0.0000,1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,5.7055
0.0000,0.0000,1.1800,0.0000,0.0000,0.0000,0.0000,0.0000,1.7501
1.1600,0.0000,0.0000,2.0900,0.0000,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
1.1300,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
1.1325,0.0000,0.0000,1.5800,0.0000,0.0000,0.0000,0.0000,0.0000
0.9740,0.0000,0.0000,1.5800,0.0000,0.0000,0.0000,0.0000,0.0000
0.9283,0.0000,0.0000,1.5900,0.0000,0.0000,0.0000,0.0000,0.0000
0.8814,0.0000,0.0000,1.5900,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.2450,0.0000,2.1200,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1933,0.0000,2.0900,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,1.1100,0.0000,1.5800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9780,0.0000,1.5600,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.9071,0.0000,1.5800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2800,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2850,2.0600,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2900,2.0700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2375,1.8800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2500,1.8700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2417,1.8800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2457,1.8700,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0450,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0467,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0600,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.8800,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.7683,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.6757,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.6138,0.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0600,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0600,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0600,1.1067,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.4800,1.0450,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.4900,0.9380,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.5000,0.8683,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.4900,0.8171,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0400,0.0000,0.3900,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0900,0.0000,0.8900,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0700,0.0000,0.6367,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0800,0.0000,0.0425,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0800,0.0000,0.0360,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.1400,0.0000,0.0600,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.9600,0.0000,0.2700,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0900,0.0000,0.0000,2.1100,0.0000,0.0000
0.0000,0.0000,0.0000,1.9100,0.0000,0.0000,0.6100,0.0000,0.0000
0.0000,0.0000,0.0000,1.9000,0.0000,0.0000,0.4467,0.0000,0.0000
0.0000,0.0000,0.0000,1.9400,0.0000,0.0000,0.2225,0.0000,0.0000
0.0000,0.0000,0.0000,1.9400,0.0000,0.0000,0.3060,0.0000,0.0000
0.0000,0.0000,0.0000,1.8800,0.0000,0.0000,0.2167,0.0000,0.0000
0.0000,0.0000,0.0000,2.0100,0.0000,0.0000,0.1200,0.0000,0.0000
0.0000,0.0000,0.0000,2.0400,0.0000,0.0000,0.0000,8.9250,0.0000
0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,8.8940,0.0000
0.0000,0.0000,0.0000,2.0600,0.0000,0.0000,0.0000,9.7017,0.0000
0.0000,0.0000,0.0000,1.9400,0.0000,0.0000,0.0000,8.5010,0.0000
0.0000,0.0000,0.0000,1.9500,0.0000,0.0000,0.0000,9.6992,0.0000
0.0000,0.0000,0.0000,1.9400,0.0000,0.0000,0.0000,7.9188,0.0000
0.0000,0.0000,0.0000,1.9600,0.0000,0.0000,0.0000,7.5803,0.0000
0.0000,0.0000,0.0000,2.0500,0.0000,0.0000,0.0000,0.0000,6.3880
0.0000,0.0000,0.0000,2.0800,0.0000,0.0000,0.0000,0.0000,1.8685
0.0000,0.0000,0.0000,2.0700,0.0000,0.0000,0.0000,0.0000,2.2250
0.0000,0.0000,0.0000,1.8500,0.0000,0.0000,0.0000,0.0000,1.8507
0.0000,0.0000,0.0000,1.8100,0.0000,0.0000,0.0000,0.0000,2.1232
0.0000,0.0000,0.0000,1.8000,0.0000,0.0000,0.0000,0.0000,5.7737
0.0000,0.0000,0.0000,1.8100,0.0000,0.0000,0.0000,0.0000,1.7553
1.1400,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
1.1800,0.0000,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
1.1500,0.0000,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
1.1125,0.0000,0.0000,0.0000,0.8300,0.0000,0.0000,0.0000,0.0000
0.9700,0.0000,0.0000,0.0000,0.8200,0.0000,0.0000,0.0000,0.0000
0.9350,0.0000,0.0000,0.0000,0.8200,0.0000,0.0000,0.0000,0.0000
0.9043,0.0000,0.0000,0.0000,0.8300,0.0000,0.0000,0.0000,0.0000
0.0000,1.1700,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
0.0000,1.2300,0.0000,0.0000,1.1300,0.0000,0.0000,0.0000,0.0000
0.0000,1.1467,0.0000,0.0000,1.1100,0.0000,0.0000,0.0000,0.0000
0.0000,1.1075,0.0000,0.0000,0.8300,0.0000,0.0000,0.0000,0.0000
0.0000,1.0220,0.0000,0.0000,0.8400,0.0000,0.0000,0.0000,0.0000
0.0000,0.8843,0.0000,0.0000,0.8200,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2700,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2750,0.0000,1.0900,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2900,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2400,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2560,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2417,0.0000,0.9900,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,1.2114,0.0000,0.9900,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0600,1.1000,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0600,1.1100,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,2.0667,1.1100,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.9200,0.8600,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.7620,0.8600,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,1.6667,0.8600,0.0000,0.0000,0.0000,0.0000
0.0000,0.0000,0.0000,0.0000,1.1000,0.0000,0.0000,0.0000,0.0000
